Edad;Religión;Sexo;Cantidad
12 A 16;Católica;M;1189546
17 A 24;Católica;M;1658676
25 A 34;Católica;M;1735663
35 A 44;Católica;M;1406129
45 A 54;Católica;M;1021982
55 A MÁS;Católica;M;1367124
12 A 16;Cristiana/Evangélica;M;188742
17 A 24;Cristiana/Evangélica;M;237845
25 A 34;Cristiana/Evangélica;M;243044
35 A 44;Cristiana/Evangélica;M;198649
45 A 54;Cristiana/Evangélica;M;142180
55 A MÁS;Cristiana/Evangélica;M;190493
12 A 16;Otra;M;46424
17 A 24;Otra;M;67849
25 A 34;Otra;M;68048
35 A 44;Otra;M;52163
45 A 54;Otra;M;37166
55 A MÁS;Otra;M;52795
12 A 16;Ninguna;M;49681
17 A 24;Ninguna;M;105853
25 A 34;Ninguna;M;96533
35 A 44;Ninguna;M;56971
45 A 54;Ninguna;M;31527
55 A MÁS;Ninguna;M;33459
12 A 16;Católica;F;1150148
17 A 24;Católica;F;1661958
25 A 34;Católica;F;1808280
35 A 44;Católica;F;1472609
45 A 54;Católica;F;1056276
55 A MÁS;Católica;F;1428331
12 A 16;Cristiana/Evangélica;F;202193
17 A 24;Cristiana/Evangélica;F;270893
25 A 34;Cristiana/Evangélica;F;285159
35 A 44;Cristiana/Evangélica;F;236979
45 A 54;Cristiana/Evangélica;F;174286
55 A MÁS;Cristiana/Evangélica;F;235592
12 A 16;Otra;F;47853
17 A 24;Otra;F;70756
25 A 34;Otra;F;72547
35 A 44;Otra;F;58460
45 A 54;Otra;F;44131
55 A MÁS;Otra;F;61099
12 A 16;Ninguna;F;39128
17 A 24;Ninguna;F;70672
25 A 34;Ninguna;F;57282
35 A 44;Ninguna;F;31951
45 A 54;Ninguna;F;16484
55 A MÁS;Ninguna;F;18893
